provinsi,modal_kerja,investasi,konsumsi,ekspor,impor,lainnya
Jawa Barat,207717.620965034,96725.216268901,319016.697111044,5092.471822181,3127.058260305,615240.004262493
Banten,64622.950169112,35730.555491026,110653.139295194,885.777349958,317.475168114,209803.39243726
DKI Jakarta,1909829.12395009,1390055.61790235,653120.811648265,126670.070326558,80833.718683295,3745501.76449086
D.I Yogyakarta,19462.741830089,18476.657055284,17451.776623131,368.597205201,95.020426184,54927.557877119
Jawa Tengah,203650.474505459,71793.351595853,111966.040818119,5601.950776071,1170.455009888,380637.461133472
Jawa Timur,305180.357211918,101398.217337625,182416.281815038,13361.472443458,5893.659052228,569739.724868895
Bengkulu,8722.795764577,5728.888133318,15418.386529926,316.882152589,41.533855993,29511.654419239
Jambi,15824.00594305,15880.803809151,23258.985556231,449.250941557,88.453522848,54426.090844027
Aceh ,7013.280859396,7709.104535504,29509.746988163,0.953587501,0.87724348,44230.301552082
Sumatera Utara,136788.314517468,66021.385398001,79451.129462166,13363.675923188,1326.625564763,267570.527889684
Sumatera Barat,26525.82168647,12042.396414958,33091.555083281,1042.218927596,54.953025182,70562.601231931
Riau,28424.610074179,33643.592262776,38739.877917582,431.432131313,374.063997697,100002.584125527
Sumatera Selatan,42534.488010437,25543.632272988,49421.172655796,855.085063684,123.983783462,116520.224092075
Bangka Belitung,5234.152671461,3384.060900432,8853.854013838,98.745216036,8.178091822,17365.144277873
Kepulauan Riau,15850.810830432,15799.518954045,22760.450575784,270.071886583,1058.307608614,53082.400865064
Lampung,33894.287633091,8532.770777183,22676.218869227,787.428279461,190.202790145,64125.646209895
Kalimantan Selatan,27671.181596553,19118.49706334,30665.666539157,604.677045034,87.62425805,76763.043895966
Kalimantan Barat,20220.390955726,22777.873052857,32981.208429228,466.649806012,36.740563454,75476.082068345
Kalimantan Timur,31786.188789569,39498.655694786,38319.239399844,674.948603818,295.980732124,108633.154548257
Kalimantan Tengah,17018.474123531,13328.456883691,19789.424722861,280.728671119,47.848406371,49807.778652593
Sulawesi Tengah,23554.961698122,10619.549834526,24223.199613689,596.369383215,27.630506546,57773.711256576
Sulawesi Selatan,59553.616639672,29177.338499654,73051.395718057,3619.65226575,256.204454261,157906.494137372
Sulawesi Utara,14051.018514177,7462.522429668,30482.822457726,2308.048819192,68.465226894,49619.849355485
Gorontalo,3737.032990544,3041.185298231,10776.610460955,212.587535338,4.274146917,17337.967067475
Sulawesi Barat,3672.845271593,2094.499526471,6683.005808498,99.254802602,10.248516634,12340.847287326
Sulawesi Tenggara,11624.401192431,6342.302955437,22346.299295135,284.195811745,16.17754442,40012.630086838
Nusa Tenggara Barat,22210.259297876,16256.420165849,30909.297287004,436.442102485,27.70844044,68911.826207804
Bali,32593.474096333,33042.394688636,33825.810730149,687.774484799,50.105562427,98723.799467892
Nusa Tenggara Timur,15398.792660495,3140.818285727,26645.263558829,653.88111237,38.94560288,44492.047789801
Maluku ,5888.183197189,1321.864569259,10039.279215466,188.998092257,18.152491433,17042.176398224
Papua,11239.869714375,7096.961090931,22545.363462112,557.215269569,72.814324036,40252.164673813
Maluku Utara,3076.714952861,3103.520391993,9781.494221209,145.592548012,11.906692097,15804.230325954
Papua Barat,4708.276602296,1873.960365341,11069.607469773,173.189185394,31.353974483,17447.301277533
Lainnya,97325.678682789,107854.868731352,1328.471675744,7833.997869747,21483.047385336,177191.973834802
Total,3436607.197598396,2235617.458637144,2153269.5850282214,189420.28744139298,117289.794912823,7518784.158909551
